Section	Label	Variable	UI	Type	Min	Max	Default	Formula for UI elements (x from 0.0 to 1.0)	Unit	enum	Notes	Array value	OSC path	OSC remote path	Hover help text in the status bar	Keyboard shortcuts
Cluster Selector	Cluster 1-10 Buttons		10 radio buttons	INT	1	10	1			Cluster 1 ; Cluster 2 ; ... ; Cluster 10	Session-only selection (not persisted in ValueTree). Button text shows cluster number and assigned-input count (e.g. "3 (2)"). Buttons for empty clusters are dimmed (0.5 alpha). Color-coded to match Map cluster colors. RadioGroupId=1001.				Select which cluster is being edited.	Type a number 1-0 (0 = cluster 10) to select a cluster.
Assigned Inputs	Show/Hide Cluster Inputs	clusterInputsVisible	Toggle button	INT	0	1	1			Hide Cluster Inputs ; Show Cluster Inputs	Per-cluster. When 0, hides all member inputs' markers on the Map tab.		/wfs/cluster/inputsVisible <ID> <value>		Show or hide this cluster's member inputs on the Map.	
Assigned Inputs	Assigned Inputs List	clusterInputOrder	ListBox (draggable rows)	STRING							Per-cluster. Comma-separated list of input IDs in the display order of the Assigned Inputs list. Rows can be drag-reordered; the tracked input (if any) is locked at row 0 and cannot be moved. Multi-select supported. Empty string = numeric-ID fallback order. Hidden when the selected cluster has no assigned inputs.		/wfs/cluster/inputOrder <ID> <value>		Drag to reorder inputs within the cluster.	Drag the handle on the left of each row to reorder.
Reference	Reference Mode	clusterReferenceMode	Drop down menu	INT	0	1	0			First Input (0) ; Barycenter (1)	Per-cluster. Determines the pivot used by Rotation and Scale. Overridden by a tracked input if one exists in the cluster (tracked input always takes priority over this setting).		/wfs/cluster/referenceMode <ID> <value>		Pivot point for rotation and scale transforms.	
Reference	Reference Point Display		Read-only labels (X / Y / Z)	FLOAT					m		Read-only. Shows the current reference-point position computed from the selected Reference Mode (or the tracked input if present). Three separate X / Y / Z labels.				Live reference point used by rotation and scale.	
Reference	Status Label		Read-only label	STRING							Read-only. Orange text. Shows "Tracking: Input <N>" when a tracked input is the reference, or "No Inputs" when the cluster is empty, or blank otherwise.				Cluster status information.	
Transforms	Position XY		2D joystick (auto-center)	FLOAT	-1.0	1.0	0.0		m/s		Auto-center spring-back to (0,0). 50 Hz timer integrates the deflection as a position delta applied to all member inputs (or to the tracked input's offset when a tracked input is present). Thumb #4CAF50, outer #3A3A3A. Not persisted; applies its effect to each input's positionX/Y (or offsetX/Y).		/wfs/cluster/positionJoystick <ID> <x> <y>		Drag to move the whole cluster; releases back to center.	
Transforms	Z Height		V auto-center slider	FLOAT	-1.0	1.0	0.0		m/s		Auto-center spring-back to 0. 50 Hz integration applied to all member inputs' Z (or tracked input's Z-offset). Orange #FF5722 track.		/wfs/cluster/zSlider <ID> <value>		Drag vertically to move the cluster up/down; releases back to center.	
Transforms	Attenuation		V auto-center slider	FLOAT	-1.0	1.0	0.0		dB/s		Auto-center spring-back to 0. 50 Hz integration applied as a relative dB change to every member input's attenuation. Orange track.		/wfs/cluster/attenuationSlider <ID> <value>		Relative dB change to all cluster inputs.	
Transforms	Rotation		Endless dial	FLOAT			0.0		degrees		Wrap-around dial (no min/max limit). Rotates all member inputs around the reference point in the selected Plane. Blue #2196F3. 50 Hz integration-style behavior (delta per rotation).		/wfs/cluster/rotationDial <ID> <value>		Rotate the cluster around the reference point in the selected plane.	
Transforms	Scale		V auto-center slider	FLOAT	-1.0	1.0	0.0	log-centered at 1.0x	x/s		Auto-center spring-back to 0 (neutral = 1.0x scale). Log-scale so equal up/down excursions produce matched scale up / scale down. Purple #9C27B0 track. Scales member inputs' positions relative to the reference point in the selected Plane.		/wfs/cluster/scaleSlider <ID> <value>		Scale the cluster outward/inward from the reference point.	
Transforms	Plane Selector		Drop down menu (overlaid on Rotation dial center)	INT	1	3	1			XY (1) ; XZ (2) ; YZ (3)	Session-only (not persisted). Chooses the plane in which Rotation and Scale operate. XY = horizontal plane, XZ = looking down the depth axis, YZ = looking along width.		/wfs/cluster/plane <ID> <value>		Plane for rotation and scale transforms.	
Cluster LFO	LFO Active	clusterLFOactive	Toggle button	INT	0	1	0			LFO Off ; LFO On	Per-cluster. When off, all LFO controls are dimmed (0.5 alpha).		/wfs/cluster/LFOactive <ID> <value>		Enable or disable the cluster LFO.	
Cluster LFO	LFO Period	clusterLFOperiod	Basic dial + editable value label	FLOAT	0.01	100.0	5.0	0.01 * pow(10000, x)	s		Per-cluster. Log-scale dial. Value label is editable with direct text entry.		/wfs/cluster/LFOperiod <ID> <value>		Base period of the cluster LFO (seconds).	
Cluster LFO	LFO Phase (Global)	clusterLFOphase	Rotation dial + editable value label	INT	-180	180	0	(x*360)-180	degrees		Per-cluster. Global phase offset applied to the LFO ramp before per-axis phase offsets.		/wfs/cluster/LFOphase <ID> <value>		Cluster LFO global phase offset in degrees, range -180 to 180. 0 = start of cycle, 90 = quarter-cycle in, etc. Applied to the LFO ramp before the per-axis (X/Y/Z/Rot/Scale) phase offsets.
Cluster LFO	LFO Progress		Read-only progress dial	FLOAT	0.0	1.0					Read-only playhead display showing the current position of the LFO ramp (0-1 cycle).				Current LFO ramp position.	
Cluster LFO	LFO Shape X	clusterLFOshapeX	Drop down menu	INT	0	8	0			Off (0) ; Sine (1) ; Square (2) ; Sawtooth (3) ; Triangle (4) ; Keystone (5) ; Log (6) ; Exp (7) ; Random (8)	Per-cluster. LFO waveform shape for the X axis. Greyed out when LFO Active is off or when Shape is Off (= inactive row).		/wfs/cluster/LFOshapeX <ID> <value>		Waveform shape for cluster LFO on the X axis.	
Cluster LFO	LFO Rate X	clusterLFOrateX	H bidirectional slider	FLOAT	0.01	100.0	1.0	pow(10.0,(x*4.0)-2.0)	x		Per-cluster. Log-scale rate multiplier relative to the base Period for the X axis. Greyed out when LFO Active is off or when Shape is Off.		/wfs/cluster/LFOrateX <ID> <value>		Rate multiplier for the cluster LFO on the X axis.	
Cluster LFO	LFO Amplitude X	clusterLFOamplitudeX	H standard slider	FLOAT	0.0	50.0	1.0	x*50.0	m		Per-cluster. Amplitude of the X-axis position modulation in meters. Greyed out when LFO Active is off or when Shape X is Off.		/wfs/cluster/LFOamplitudeX <ID> <value>		Amplitude of the cluster LFO on the X axis.	
Cluster LFO	LFO Phase X	clusterLFOphaseX	Rotation dial	INT	-180	180	0	(x*360)-180	degrees		Per-cluster. Phase offset (on top of the global LFO Phase) for the X axis.		/wfs/cluster/LFOphaseX <ID> <value>		Cluster LFO X-axis phase offset in degrees, range -180 to 180. Stacks on top of the global clusterLFOphase. Use to desync axes within a cluster.
Cluster LFO	LFO Shape Y	clusterLFOshapeY	Drop down menu	INT	0	8	0			Off (0) ; Sine (1) ; Square (2) ; Sawtooth (3) ; Triangle (4) ; Keystone (5) ; Log (6) ; Exp (7) ; Random (8)	Per-cluster. LFO waveform shape for the Y axis. Greyed out when LFO Active is off or when Shape is Off (= inactive row).		/wfs/cluster/LFOshapeY <ID> <value>		Waveform shape for cluster LFO on the Y axis.	
Cluster LFO	LFO Rate Y	clusterLFOrateY	H bidirectional slider	FLOAT	0.01	100.0	1.0	pow(10.0,(x*4.0)-2.0)	x		Per-cluster. Log-scale rate multiplier relative to the base Period for the Y axis. Greyed out when LFO Active is off or when Shape is Off.		/wfs/cluster/LFOrateY <ID> <value>		Rate multiplier for the cluster LFO on the Y axis.	
Cluster LFO	LFO Amplitude Y	clusterLFOamplitudeY	H standard slider	FLOAT	0.0	50.0	1.0	x*50.0	m		Per-cluster. Amplitude of the Y-axis position modulation in meters. Greyed out when LFO Active is off or when Shape Y is Off.		/wfs/cluster/LFOamplitudeY <ID> <value>		Amplitude of the cluster LFO on the Y axis.	
Cluster LFO	LFO Phase Y	clusterLFOphaseY	Rotation dial	INT	-180	180	0	(x*360)-180	degrees		Per-cluster. Phase offset (on top of the global LFO Phase) for the Y axis.		/wfs/cluster/LFOphaseY <ID> <value>		Cluster LFO Y-axis phase offset in degrees, range -180 to 180. Stacks on top of the global clusterLFOphase.
Cluster LFO	LFO Shape Z	clusterLFOshapeZ	Drop down menu	INT	0	8	0			Off (0) ; Sine (1) ; Square (2) ; Sawtooth (3) ; Triangle (4) ; Keystone (5) ; Log (6) ; Exp (7) ; Random (8)	Per-cluster. LFO waveform shape for the Z axis. Greyed out when LFO Active is off or when Shape is Off (= inactive row).		/wfs/cluster/LFOshapeZ <ID> <value>		Waveform shape for cluster LFO on the Z axis.	
Cluster LFO	LFO Rate Z	clusterLFOrateZ	H bidirectional slider	FLOAT	0.01	100.0	1.0	pow(10.0,(x*4.0)-2.0)	x		Per-cluster. Log-scale rate multiplier relative to the base Period for the Z axis. Greyed out when LFO Active is off or when Shape is Off.		/wfs/cluster/LFOrateZ <ID> <value>		Rate multiplier for the cluster LFO on the Z axis.	
Cluster LFO	LFO Amplitude Z	clusterLFOamplitudeZ	H standard slider	FLOAT	0.0	50.0	1.0	x*50.0	m		Per-cluster. Amplitude of the Z-axis position modulation in meters. Greyed out when LFO Active is off or when Shape Z is Off.		/wfs/cluster/LFOamplitudeZ <ID> <value>		Amplitude of the cluster LFO on the Z axis.	
Cluster LFO	LFO Phase Z	clusterLFOphaseZ	Rotation dial	INT	-180	180	0	(x*360)-180	degrees		Per-cluster. Phase offset (on top of the global LFO Phase) for the Z axis.		/wfs/cluster/LFOphaseZ <ID> <value>		Cluster LFO Z-axis phase offset in degrees, range -180 to 180. Stacks on top of the global clusterLFOphase.
Cluster LFO	LFO Shape Rot	clusterLFOshapeRot	Drop down menu	INT	0	8	0			Off (0) ; Sine (1) ; Square (2) ; Sawtooth (3) ; Triangle (4) ; Keystone (5) ; Log (6) ; Exp (7) ; Random (8)	Per-cluster. LFO waveform shape for the Rot axis. Greyed out when LFO Active is off or when Shape is Off (= inactive row).		/wfs/cluster/LFOshapeRot <ID> <value>		Waveform shape for cluster LFO on the Rot axis.	
Cluster LFO	LFO Rate Rot	clusterLFOrateRot	H bidirectional slider	FLOAT	0.01	100.0	1.0	pow(10.0,(x*4.0)-2.0)	x		Per-cluster. Log-scale rate multiplier relative to the base Period for the Rot axis. Greyed out when LFO Active is off or when Shape is Off.		/wfs/cluster/LFOrateRot <ID> <value>		Rate multiplier for the cluster LFO on the Rot axis.	
Cluster LFO	LFO Amplitude Rot	clusterLFOamplitudeRot	H bidirectional slider	INT	-360	360	0	(x*720)-360	degrees		Per-cluster. Amplitude of the Rotation modulation in degrees (bipolar: negative = anti-clockwise). Greyed out when LFO Active is off or when Shape Rot is Off.		/wfs/cluster/LFOamplitudeRot <ID> <value>		Cluster rotation LFO amplitude in degrees, range -360 to 360. Bipolar: positive = counter-clockwise viewed from above (matches the inputRotation / outputOrientation convention), negative = clockwise. Cluster rotates around its reference point in the selected plane.
Cluster LFO	LFO Phase Rot	clusterLFOphaseRot	Rotation dial	INT	-180	180	0	(x*360)-180	degrees		Per-cluster. Phase offset (on top of the global LFO Phase) for the Rot axis.		/wfs/cluster/LFOphaseRot <ID> <value>		Cluster rotation LFO phase offset in degrees, range -180 to 180. Stacks on top of the global clusterLFOphase.
Cluster LFO	LFO Shape Scale	clusterLFOshapeScale	Drop down menu	INT	0	8	0			Off (0) ; Sine (1) ; Square (2) ; Sawtooth (3) ; Triangle (4) ; Keystone (5) ; Log (6) ; Exp (7) ; Random (8)	Per-cluster. LFO waveform shape for the Scale axis. Greyed out when LFO Active is off or when Shape is Off (= inactive row).		/wfs/cluster/LFOshapeScale <ID> <value>		Waveform shape for cluster LFO on the Scale axis.	
Cluster LFO	LFO Rate Scale	clusterLFOrateScale	H bidirectional slider	FLOAT	0.01	100.0	1.0	pow(10.0,(x*4.0)-2.0)	x		Per-cluster. Log-scale rate multiplier relative to the base Period for the Scale axis. Greyed out when LFO Active is off or when Shape is Off.		/wfs/cluster/LFOrateScale <ID> <value>		Rate multiplier for the cluster LFO on the Scale axis.	
Cluster LFO	LFO Amplitude Scale	clusterLFOamplitudeScale	H bidirectional slider	FLOAT	0.1	10.0	1.0	pow(10.0, (x*2.0) - 1.0)	x		Per-cluster. Scale modulation amplitude, log-centered at 1.0x (0.1x to 10x). Greyed out when LFO Active is off or when Shape Scale is Off.		/wfs/cluster/LFOamplitudeScale <ID> <value>		Amplitude of the cluster LFO on the Scale axis.	
Cluster LFO	LFO Phase Scale	clusterLFOphaseScale	Rotation dial	INT	-180	180	0	(x*360)-180	degrees		Per-cluster. Phase offset (on top of the global LFO Phase) for the Scale axis.		/wfs/cluster/LFOphaseScale <ID> <value>		Cluster scale LFO phase offset in degrees, range -180 to 180. Stacks on top of the global clusterLFOphase.	
LFO Presets	Preset Tiles	clusterLFOPresetName	4x4 tile grid	STRING							Global (shared by all clusters). 16 preset slots in a 4x4 grid. Left-click recalls a preset into the selected cluster. Double-click recalls and activates the LFO. Middle/right-click stores the current cluster LFO state into that slot. Slow-click on an occupied tile edits its name in place. Populated tiles have a green tint and show active-axis letters (X, Y, Z, R, S) in the corner. Each preset stores 22 properties (period, phase, and 4 values x 5 axes).		/wfs/cluster/lfoPreset <slot> <action>		Recall, activate, store, or rename a cluster-LFO preset.	Left-click to recall; double-click to recall + activate; middle/right-click to store.
LFO Presets	Stop All LFO		Text button (long-press)				Stop All LFO				Global. Long-press (500 ms) to disable the LFO on all 10 clusters simultaneously. Red #B71C1C.		/wfs/cluster/stopAllLFO		Long-press to stop the LFO on every cluster.	
LFO Presets	Export Presets		Text button				Export Presets				Global. Opens a file picker to save the 16 LFO presets as an XML file. Last-used folder remembered via AppSettings.				Save the LFO preset bank to an XML file.	
LFO Presets	Import Presets		Text button				Import Presets				Global. Opens a file picker to load an XML preset bank into the 16 slots. Refreshes the tile display on success.				Load an LFO preset bank from an XML file.	
LFO Presets	QLab Preset		Text button (conditional)				QLab Preset				Global. Visible only when a QLab target is configured and active in the Network tab. Creates a QLab network cue that recalls the selected LFO preset.				Export the selected preset as a QLab network cue.	
