Section	Label	Variable	UI	Type	Min	Max	Default	Tier	Formula for UI elements (x from 0.0 to 1.0)	Unit	enum	Notes	OSC path	OSC "inc" or "dec" before value to increment of decrement	OSC path optional value	OSC remote path	Hover help text in the status bar	Keyboard shortcuts	Models
Header	Map Visibility	effectsMapVisible	text button	INT	0	1	1	1			OFF ; ON	Config > Master property, NOT an <Effects> child; twin of reverbsMapVisible. Global toggle on the tab header. Shows/hides all effect returns on the Map tab. Needs a by-name Config exception ahead of getParameterScope's "effect" prefix test.	/wfs/effect/mapVisible <value>				Show or hide effect return markers on the Map tab.		
Header	Edit on Map		text button				0					Tab-level toggle, not persisted. Allows dragging effect return positions on the Map.	/wfs/effect/editOnMap <value>				Enable editing effect positions from the Map tab.		
Header	Solo Effects		text button (long-press)				0					Tab-level toggle. Long-press to toggle. The global "solo effects" mask of plan 2.2: input rows are zeroed in the calculation engine's level matrices. No identifier is declared for it (it is transient, like Solo Reverbs).					Long-press to solo the effect returns: the direct signal is muted.		
Header	Clear		text button (long-press)									Emergency Clear (plan 2.2, 4.4-10). Long-press flushes this channel's chain, feed delay lines and return ring; Ctrl = all channels. Not a stored parameter. R4-10: it memsets one delay line per source and may drop a block or two.	/wfs/effect/clear <ID>  |  /wfs/effect/clearAll				Long-press to flush this effect chain; hold Ctrl to clear every effect.		
Header	Loop Guard LED		LED indicator									Read-only. Lit while this channel's loop guard has ramped its fx-to-fx feed bus to -inf (plan 4.4-9, corrected by R4-1/R4-2). Not a control.					The loop guard has muted this channel's effect-to-effect feed.		
Header	Cycle Warning Badge		badge									Read-only. Raised on the message thread when this channel sits inside a cycle of the effect-to-effect on-switch graph (plan 2.2). No audio-side action: the user owns the loops.					This effect is part of a feedback loop in the sends grid.		
Header	Re-layout Effects		text button (long-press)									Long-press. Re-runs the automatic ring placement over every effects channel and clears effectPositionsUserOwned on <Effects>. Decision 15 / Q9: effects never share the input/reverb position latch.					Long-press to lay every effect return out on the default ring again.		
Effect	Selected Effect		Selector (1 to 32)									Max bounded by the Effects Channels count in System Config (up to 32). Display channel name on the switches. No identifier is declared for it: the selection is GUI state. The sibling files do NOT leave this cell blank - WFS-UI_reverb.csv names reverbSelected (and input/output theirs) on the selector row and tool_generation_ignores.json drops all three as "UI-only selection state, no ValueTree backing". A blank cell reaches the same tool surface without an ignore entry; name it here only if an effectSelected identifier is ever declared.	/wfs/effect/selected <ID>	y			Effects Channel Number and Selection.	Type E to switch to the Effects Tab. Prompt in the status bar for 5 seconds to type a number and then return to select the corresponding effects channel.	
Channel	Effect Name	effectName	Editable Text box	STRING			Effect <ID>	1				Node <Channel>. getDefaultEffectName(index) = "Effect " + (index + 1).	/wfs/effect/name <ID> <value>				Displayed Effects Channel Name (editable).		
Channel	Attenuation	effectAttenuation	H slider	FLOAT	-92.0	0.0	0.0	2	20*log10(pow(10,-92./20.)+((1-pow(10,-92./20.))*pow(x,2)))	dB		Node <Channel>. Applied to the return rows of the in x out matrices.	/wfs/effect/attenuation <ID> <value>	y	extra value is transition time in seconds		Effects Channel Attenuation.		
