Section	Label	Variable	UI	Type	Min	Max	Default	Unit	enum	Notes	Hover help text in the status bar
Network	Select Network Interface	networkInterface	drop down menu							Dynamically populated from available network interfaces	Select the Network Interface.
Network	Current IPv4	networkCurrentIP	IP number box	IP (4x INT)			127.0.0.1			Read-only. Shows IP address of the Processor on the selected interface.	IP address of the Processor.
Network	UDP Port	networkRxUDPport	number box	INT	1	65535	8000	Port		UDP Receive Port of the Processor.	UDP Receive Port of the Processor.
Network	TCP Port	networkRxTCPport	number box	INT	1	65535	8001	Port		TCP Receive Port of the Processor.	TCP Receive Port of the Processor.
Network	OSC Query Enable	networkOscQueryEnabled	toggle button	INT	0	1	0		Disabled ; Enabled	Enable/disable OSC Query server for automatic parameter discovery via HTTP/WebSocket.	Enable/disable OSC Query server for automatic parameter discovery via HTTP/WebSocket.
Network	OSC Query Port	networkOscQueryPort	number box	INT	1	65535	5005	Port		HTTP port for OSC Query discovery. Browsable at http://localhost:<port>/	HTTP port for OSC Query discovery. Other apps can browse parameters at http://localhost:<port>/
Network	OSC Source Filter	networkOscSourceFilter	toggle button	INT	0	1	0		Accept All ; Registered Only	Controls which OSC senders are accepted on the Rx ports.	Filter incoming OSC: Accept All sources or only Registered connections with Rx enabled.
Network	Open Log Window		text button				Open Log Window			Opens the Network Log floating window.	Open Network Logging window.
Network	Add Target/Server		text button				ADD			At the end of the empty row after all targets. Max 6 targets/servers.	Add new network target.
Network	Target/Server Name	networkTSname	editable text box	STRING			Target			For each target/server (up to 6 targets/servers)	Network Target Name.
Network	Target/Server Data Mode	networkTSdataMode	drop down menu	INT	0	1	0		UDP ; TCP	For each target/server (up to 6 targets/servers)	Select UDP or TCP data transmission.
Network	Target/Server IPv4	networkTSip	IP number box	IP (4x INT)			127.0.0.1			For each target/server (up to 6 targets/servers)	IP Address of the Target (use 127.0.0.1 for local host).
Network	Target/Server Tx Port	networkTSport	number box	INT	1	65535	9000	Port		For each target/server (up to 6 targets/servers)	Transmit Port for this Target.
Network	Target/Server Rx Enable	networkTSrxEnable	toggle button	INT	0	1	0		OFF ; ON	For each target/server (up to 6 targets/servers)	Enable or Disable Data Reception.
Network	Target/Server Tx Enable	networkTStxEnable	toggle button	INT	0	1	0		OFF ; ON	For each target/server (up to 6 targets/servers)	Enable or Disable Data Transmission.
Network	Target/Server Protocol	networkTSProtocol	drop down menu	INT	0	7	0		DISABLED ; OSC ; Remote ; ADM-OSC ; QLab	For each target/server (up to 6 targets/servers). Stored values: 0=DISABLED, 1=OSC, 2=Remote, 3=ADM-OSC, 7=QLab (4-6 reserved).	Select the Protocol: DISABLED, OSC, REMOTE, or ADM-OSC.
Network	Target/Server QLab Patch	networkTSqlabPatch	number box	INT	1	16	1			For each QLab target. Visible/editable only when Protocol == QLab.	Patch number used when sending cues to this QLab target.
